編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPORMLNKIIPFFAB67DA,麻園頭段,29.66,都市：其他:第二之一種商業區,持分移轉
RPXPMLTLIIPFFAB09DA,麻園頭段,15.46,都市：其他:第二種住宅區,持分移轉
RPUPMLPJJIPFFAB28DA,旱新段,20.38,都市：其他:第一種商業區,持分移轉
RPOPMLMKIIPFFAB37DA,後子段,1.26,都市：其他:第二種住宅區,持分移轉
RPOPMLMKIIPFFAB37DA,後子段,1.72,都市：其他:第一種商業區,持分移轉
RPQNMLOJJIPFFAB57DA,麻園頭段,5.33,都市：其他:第二種住宅區,持分移轉
RPVPMLPJJIPFFAB38DA,旱溪段,110.00,都市：其他:第三種住宅區。,全筆移轉
RPWQMLNLIIPFFAB48DA,土庫段,42.70,都市：其他:第二種住宅區,持分移轉
RPROMLQJJIPFFAB97DA,麻園頭段,10.70,都市：其他:第二種住宅區,持分移轉
RPPRMLPJJIPFFAB97DA,信義段六小段,11.69,都市：其他:第二種住宅區,持分移轉
RPOOMLQJJIPFFAB67DA,中民段六小段,8.85,都市：其他:第二種住宅區,持分移轉
RPOOMLQJJIPFFAB67DA,中民段六小段,1.83,都市：其他:第二種住宅區,持分移轉
RPOOMLQJJIPFFAB67DA,中民段六小段,.96,都市：其他:第二種住宅區,持分移轉
RPOOMLQJJIPFFAB67DA,中民段六小段,.30,都市：其他:第二種住宅區,持分移轉
RPOOMLQJJIPFFAB67DA,中民段六小段,3.24,都市：其他:第二種住宅區,持分移轉
RPUOMLMLIIPFFAB97DA,大益段,6.44,都市：其他:第二種住宅區,持分移轉
RPUOMLMLIIPFFAB97DA,大益段,6.44,都市：其他:第二種住宅區,持分移轉
RPUOMLMLIIPFFAB97DA,大益段,6.75,都市：其他:第二種住宅區,持分移轉
RPSRMLRKQHPFFBB66DA,景東段,45.37,都市：其他:第二種住宅區,持分移轉
RPUOMLMLIIPFFAB97DA,大益段,6.75,都市：其他:第二種住宅區,持分移轉
RPRRMLSKRHPFFBB76DA,崇德段,19.05,都市：其他:第二種商業區,持分移轉
RPVNMLTJIIPFFAB48DA,柳川段四小段,6.00,都市：其他:第二種商業區,全筆移轉
RPVNMLTJIIPFFAB48DA,仁愛段四小段,11.00,都市：其他:第二種商業區,全筆移轉
RPVNMLTJIIPFFAB48DA,仁愛段四小段,12.00,都市：其他:第二種商業區,全筆移轉
RPWPMLPJJIPFFAB48DA,旱溪段,111.00,都市：其他:第三種住宅區。,全筆移轉
RPVPMLPJIIPFFBB38DA,長春段,27.51,都市：其他:第二種住宅區,持分移轉
RPOPMLPJIIPFFBB67DA,錦村段,.26,都市：其他:甲種住宅區,持分移轉
RPOPMLPJIIPFFBB67DA,錦村段,17.87,都市：其他:第二種住宅區,持分移轉
RPQRMLRJIIPFFBB28DA,錦村段,31.62,都市：其他:第二之一種商業區,持分移轉
RPQRMLRJIIPFFBB28DA,錦村段,.24,非都市： ; 非都市編定：,持分移轉
RPSQMLSJIIPFFBB48DA,崇德段,22.04,都市：其他:第二種商業區,持分移轉
RPSOMLSJIIPFFBB28DA,軍福段,355.76,都市：其他:第一種住宅區,持分移轉
RPSOMLSJIIPFFBB28DA,軍福段,355.76,都市：其他:第一種住宅區,持分移轉
RPQVMLTLRHPFFBB27DA,建和段,194.00,都市：其他:第二種住宅區,全筆移轉
RPQVMLTLRHPFFBB27DA,建和段,20.00,非都市： ; 非都市編定：,全筆移轉
RPUQMLSJIIPFFBB68DA,崇德段,22.60,都市：其他:第二種商業區,持分移轉
RPQRMLSJIIPFFBB38DA,崇德段,24.50,都市：其他:第二種商業區,持分移轉
RPUNMLTJIIPFFBB48DA,陳平段,42.71,都市：其他:第二種住宅區,持分移轉
RPRPMLLLIIPFFAB67DA,樹子腳段,70.00,都市：其他:第三種住宅區。,全筆移轉
RPVQMLSJIIPFFBB78DA,崇德段,23.89,都市：其他:第二種商業區,持分移轉
RPXSMLSJIIPFFBB56DA,崇德段,22.60,都市：其他:第二種商業區,持分移轉
RPOTMLSJIIPFFBB38DA,崇德段,22.64,都市：其他:第二種商業區,持分移轉
RPPUMLTKIIPFFBB78DA,賴厝段,2.54,都市：其他:第二種住宅區,持分移轉
RPWNMLLMIIPFFBB18DA,錦村段,.54,都市：其他:第三種住宅區。,持分移轉
RPUNMLQLIIPFFBB38DA,太和段,18.17,都市：其他:第二種住宅區,持分移轉
RPRTMLOJJIPFFBB38DA,東新段,8.91,都市：其他:第二種住宅區,持分移轉
RPSNMLRLIIPFFBB28DA,東義段,3.89,都市：其他:第二種住宅區,持分移轉
RPRTNLRLIIPFFBB88DA,軍福段,15.70,都市：其他:第二種商業區,持分移轉
RPVNMLMJJIPFFBB97DA,太祥段,7.26,都市：其他:第三種住宅區。,持分移轉
RPVNMLMJJIPFFBB97DA,太祥段,7.26,都市：其他:第三種住宅區。,持分移轉
RPVNMLMJJIPFFBB97DA,太祥段,7.26,都市：其他:第三種住宅區。,持分移轉
RPSNMLOJJIPFFBB87DA,景美段,7.41,都市：其他:第二種住宅區,持分移轉
RPSNMLOJJIPFFBB87DA,景美段,13.24,都市：其他:第三種住宅區。,持分移轉
RPOOMLQKQHPFFCB58DA,國安段,15.53,都市：其他:住宅區,持分移轉
RPVOMLNKIIPFFBB18DA,東義段,82.00,都市：其他:第二種住宅區,全筆移轉
RPVOMLNKIIPFFBB18DA,東義段,29.00,都市：其他:第二種住宅區,持分移轉
RPRWNLKKRHPFFCB66DA,建功段,14.19,都市：其他:第五種住宅區,持分移轉
RPOOOLKKRHPFFCB28DA,建功段,14.63,都市：其他:第五種住宅區,持分移轉
RPQVOLKKRHPFFCB56DA,建功段,13.30,都市：其他:第五種住宅區,持分移轉
RPVVOLKKRHPFFCB07DA,建功段,13.30,都市：其他:第五種住宅區,持分移轉
RPROPLKKRHPFFCB68DA,建功段,17.48,都市：其他:第五種住宅區,持分移轉
RPTOPLKKRHPFFCB88DA,建功段,17.48,都市：其他:第五種住宅區,持分移轉
RPXOPLKKRHPFFCB66DA,建功段,17.48,都市：其他:第五種住宅區,持分移轉
RPVQPLKKRHPFFCB66DA,建功段,14.19,都市：其他:第五種住宅區,持分移轉
RPTNMLMJJIPFFBB77DA,中清段,32.92,都市：其他:第二種住宅區,持分移轉
RPORPLKKRHPFFCB68DA,建功段,16.79,都市：其他:第五種住宅區,持分移轉
RPRPMLPKRHPFFCB98DA,建功段,74.24,都市：其他:第五種住宅區,持分移轉
RPRQPLKKRHPFFCB88DA,建功段,14.19,都市：其他:第五種住宅區,持分移轉
RPVUMLRKRHPFFCB47DA,建功段,14.63,都市：其他:第五種住宅區,持分移轉
RPWTMLPKRHPFFCB27DA,建功段,13.24,都市：其他:第五種住宅區,持分移轉
RPWUMLPKRHPFFCB37DA,建功段,16.15,都市：其他:第五種住宅區,持分移轉
RPSVMLRKRHPFFCB27DA,建功段,14.19,都市：其他:第五種住宅區,持分移轉
RPWNNLOLRHPFFCB76DA,國安段,9.52,都市：其他:住宅區,持分移轉
RPSPMLQJIIPFFCB28DA,惠民段,13.10,都市：其他:第六種新市政中心專用區,持分移轉
RPTNMLTJIIPFFCB48DA,大明段,10.17,都市：其他:第二種住宅區,持分移轉
RPRNMLLKIIPFFCB57DA,春安段,14.32,都市：其他:第一種商業區,持分移轉
RPUNMLKKIIPFFCB77DA,保安段,6.91,都市：其他:第二種住宅區,持分移轉
RPUNMLKKIIPFFCB77DA,保安段,6.91,都市：其他:第二種住宅區,持分移轉
RPTOMLMKIIPFFCB97DA,大進段,11.92,都市：其他:第三種住宅區。,持分移轉
RPPVMLRKRHPFFCB96DA,建功段,14.13,都市：其他:第五種住宅區,持分移轉
RPSNNLRJIIPFFCB28DA,惠民段,10.80,都市：其他:第一種新市政中心專用區,持分移轉
RPOVMLOKRHPFFCB56DA,建功段,9.38,都市：其他:第五種住宅區,持分移轉
RPPOMLSJIIPFFCB08DA,田心段,21.61,都市：其他:第二種住宅區,持分移轉
RPTVMLLLIIPFFBB58DA,水源段,9.94,都市：其他:第二種住宅區,持分移轉
RPVSMLPKIIPFFCB88DA,福安段,26.23,都市：其他:第二種住宅區,持分移轉
RPTRMLPKIIPFFCB58DA,下石碑段,17.86,都市：其他:第二種住宅區,持分移轉
RPRQMLTLIIPFFCB78DA,廣明段,26.03,都市：其他:第二種住宅區,持分移轉
RPRQMLTLIIPFFCB78DA,廣明段,.04,都市：其他:第二種住宅區,持分移轉
RPRQMLTLIIPFFCB78DA,廣明段,.02,都市：其他:航空事業專用區,持分移轉
RPRQMLTLIIPFFCB78DA,廣明段,.03,非都市： ; 非都市編定：,持分移轉
RPOUMLSLIIPFFCB78DA,民安段,26.18,都市：其他:第三之一種住宅區,持分移轉
RPQOMLNJJIPFFCB77DA,惠民段,11.77,都市：其他:第六種新市政中心專用區,持分移轉
RPPOMLNJJIPFFCB67DA,惠民段,16.64,都市：其他:第六種新市政中心專用區,持分移轉
RPUOMLNJJIPFFCB18DA,惠民段,12.67,都市：其他:第六種新市政中心專用區,持分移轉
RPUPMLKLRHPFFCB88DA,西屯段,6.37,都市：其他:第三之二種住宅區,持分移轉
RPUPMLKLRHPFFCB88DA,西屯段,6.37,都市：其他:第三之二種住宅區,持分移轉
RPVOMLNJJIPFFCB28DA,惠民段,19.23,都市：其他:第六種新市政中心專用區,持分移轉
RPSOMLNJJIPFFCB97DA,惠民段,12.70,都市：其他:第六種新市政中心專用區,持分移轉
RPWOMLNJJIPFFCB38DA,惠民段,13.07,都市：其他:第六種新市政中心專用區,持分移轉
RPXOMLNJJIPFFCB48DA,惠民段,13.47,都市：其他:第六種新市政中心專用區,持分移轉
RPSRMLLLIIPFFCB18DA,鎮南段,388.00,都市：其他:農業區,全筆移轉
RPRPMLNJJIPFFCB97DA,惠民段,6.15,都市：其他:第六種新市政中心專用區,持分移轉
RPRPMLNJJIPFFCB97DA,惠民段,6.15,都市：其他:第六種新市政中心專用區,持分移轉
RPTPMLNJJIPFFCB18DA,下石碑段,33.14,都市：其他:第二種住宅區,持分移轉
RPXPMLNJJIPFFCB58DA,建功段,14.63,都市：其他:第五種住宅區,持分移轉
